,Phi Andromeda,1h 9m 30.1s,+47° 14′ 31″,409,8.566116244,B,mainsequence,11091.76123
Mirach,Beta Andromeda,1h 9m 43.9s,+35° 37′ 14″,203,35.18843841,M,supergiant,3691.168543
,Zeta Phoenix,1h 8m 23s,-55° 14′ 45″,296,7.117208635,B,mainsequence,11247.07336
,Theta Cassiopeia,1h 11m 6.1s,+55° 9′ 0″,141,3.739711319,A,mainsequence,8402.695283
,Chi Pisces,1h 11m 27.1s,+21° 2′ 5″,465,19.14363657,G,supergiant,4671.844618
,Tau Pisces,1h 11m 39.6s,+30° 5′ 23″,163,7.440271757,K,supergiant,4514.792643
,Phi Pisces,1h 13m 44.8s,+24° 35′ 1″,407,16.75571856,K,normalgiant,4671.844618
,Nu Phoenix,1h 15m 11.1s,-45° 31′ 54″,49,1.357272399,F,mainsequence,6046.972924
,Kappa Tucana,1h 15m 46.2s,-68° 52′ 34″,67,1.800117827,F,subgiant,6528.155384
,Phi Cassiopeia,1h 20m 4.8s,+58° 13′ 54″,7989,232.7830201,F,supergiant,5670.983534
,Upsilon Pisces,1h 19m 27.9s,+27° 15′ 51″,326,6.131418282,A,mainsequence,9765.803485
,Xi Andromeda,1h 22m 20.3s,+45° 31′ 44″,203,7.668528023,K,supergiant,4558.520176
,Psi Cassiopeia,1h 25m 56s,+68° 7′ 48″,203,8.094784301,K,normalgiant,4648.707065
,Theta Cetus,1h 24m 1.3s,-8° 11′ 1″,116,7.933115567,K,supergiant,4603.148561
,Delta Cassiopeia,1h 25m 48.9s,+60° 14′ 7″,101,5.52686569,A,normalgiant,8747.606288
,46 Cetus,1h 25m 37.1s,-14° 35′ 56″,296,11.99167371,K,supergiant,4250.693596
,Omega Andromeda,1h 27m 39.2s,+45° 24′ 25″,93,2.452254153,F,subgiant,6775.501819
North star,Alpha Ursa,2h 31m 50.5s,+89° 15′ 51″,465,50.5525607,F,supergiant,5967.54345
,Gamma Phoenix,1h 28m 21.9s,-43° 19′ 6″,250,23.16514659,M,supergiant,3691.168543
,Mu Pisces,1h 30m 11.1s,+06° 8′ 38″,362,16.08816723,K,normalgiant,3983.407818
,Eta Pisces,1h 31m 28.9s,+15° 20′ 45″,296,19.08407077,G,supergiant,4815.940935
,Delta Phoenix,1h 31m 15s,-49° 4′ 22″,148,8.28076065,K,normalgiant,4766.876782
,Chi Cassiopeia,1h 33m 55.9s,+59° 13′ 56″,217,8.559997246,G,supergiant,4742.738178
,Upsilon Andromeda,1h 36m 47.8s,+41° 24′ 20″,44,1.762689423,F,mainsequence,6212.866018
,51 Andromeda,1h 37m 59.5s,+48° 37′ 42″,181,13.83230312,K,normalgiant,4157.521863
,Chi Andromeda,1h 39m 20.9s,+44° 23′ 10″,250,8.260149355,G,normalgiant,5023.375178
Achernar,Alpha Eridanus,1h 37m 42.9s,-57° 14′ 12″,148,15.51743344,B,mainsequence,12691.66294
,Tau Andromeda,1h 40m 34.7s,+40° 34′ 37″,501,7.42526588,B,normalgiant,11407.3413
,HD 10307,1h 41m 47.1s,+42° 36′ 49″,41,1.165869607,G,mainsequence,5890.322012
,Nu Pisces,1h 41m 25.8s,+05° 29′ 15″,407,21.65605139,K,hypergiant,4000.132099
,Phi Perseus,1h 43m 39.6s,+50° 41′ 20″,440,10.4721134,B,mainsequence,10653.26991
,HD 10550,1h 42m 43.4s,-3° 41′ 25″,494,20.39529575,K,normalgiant,3983.407818
,Tau Cetus,1h 44m 4s,-15° 56′ 15″,11,0.6521230352,G,mainsequence,5534.196696
,Omicron Pisces,1h 45m 23.6s,+09° 9′ 28″,271,12.94486953,G,normalgiant,4840.875442
,Chi Cetus,1h 49m 35s,-10° 41′ 11″,77,1.999810576,F,normalgiant,7337.079255
,Zeta Cetus,1h 51m 27.5s,-10° 20′ 6″,271,18.13969996,K,hypergiant,4429.929225
,Epsilon Cassiopeia,1h 54m 23.6s,+63° 40′ 13″,465,12.97223597,B,normalgiant,12488.51085
,Alpha Triangulum,1h 53m 4.8s,+29° 34′ 44″,65,3.414293424,F,subgiant,6481.008924
,Gamma Aries,1h 53m 31.7s,+19° 17′ 45″,217,3.622586503,B,mainsequence,10653.26991
,Gamma Aries,1h 53m 31.8s,+19° 17′ 37″,217,3.758543233,A,,10653.26991
,Omega Cassiopeia,1h 55m 59.9s,+68° 41′ 7″,512,7.309531446,B,normalgiant,11572.81773
,Xi Pisces,1h 53m 33.3s,+03° 11′ 15″,191,7.614231482,K,normalgiant,4891.57251
,Beta Aries,1h 54m 38.3s,+20° 48′ 29″,60,3.328878773,A,mainsequence,8747.606288
,Psi Phoenix,1h 53m 38.7s,-46° 18′ 10″,326,19.20607667,M,normalgiant,3662.97288
,56 Cetus,1h 56m 40.1s,-22° 31′ 36″,407,18.30591641,K,normalgiant,3917.94294
,Chi Eridanus,1h 55m 57.4s,-51° 36′ 32″,57,3.322095777,G,supergiant,5134.371181
,Lambda Aries,1h 57m 55.7s,+23° 35′ 46″,135,3.221402885,F,mainsequence,7591.384014
,Eta Hydrus,1h 54m 56.1s,-67° 38′ 51″,217,8.459085873,G,normalgiant,4866.084384
,HD 12055,1h 57m 10s,-47° 23′ 6″,271,9.586702936,G,normalgiant,5050.644696
,48 Cassiopeia,2h 1m 57.3s,+70° 54′ 26″,120,2.874127783,A,subgiant,8486.08451
,50 Cassiopeia,2h 3m 26s,+72° 25′ 17″,163,4.182494682,A,mainsequence,10251.71238
,Upsilon Cetus,2h 0m 0.2s,-21° 4′ 40″,326,22.72149338,M,hypergiant,3705.436013
,Alpha Hydrus,1h 58m 46.2s,-61° 34′ 12″,72,4.178778178,F,mainsequence,7591.384014
,Alpha Pisces,2h 2m 2.7s,+02° 45′ 49″,141,3.232576495,A,,9765.803485
Almach,Gamma Andromeda,2h 3m 53.9s,+42° 19′ 47″,362,52.5668967,K,supergiant,4000.132099
,Gamma Andromeda,2h 3m 54.7s,+42° 19′ 51″,362,6.56225893,B,hypergiant,9765.803485
,Nu Fornax,2h 4m 29.4s,-29° 17′ 49″,362,5.322216453,B,,12902.39349
Hamal,Alpha Aries,2h 7m 10.3s,+23° 27′ 45″,66,9.800501029,K,supergiant,4388.740774
,58 Andromeda,2h 8m 29.2s,+37° 51′ 33″,203,4.084543923,A,subgiant,8838.793893
,Beta Triangulum,2h 9m 32.5s,+34° 59′ 14″,125,5.963714928,A,normalgiant,8658.472979
,14 Aries,2h 9m 25.3s,+25° 56′ 24″,326,7.436207238,F,normalgiant,7276.378482
,6 Triangulum,2h 12m 22.2s,+30° 18′ 11″,326,10.31779658,G,normalgiant,5341.70865
,60 Andromeda,2h 13m 13.2s,+44° 13′ 55″,289,13.44145654,K,hypergiant,3823.838842
,Xi Cetus,2h 12m 59.9s,+08° 50′ 48″,362,15.90081322,G,normalgiant,5050.644696
,Delta Triangulum,2h 17m 3.2s,+34° 13′ 28″,35,1.030656548,G,mainsequence,5928.662795
,Gamma Triangulum,2h 17m 18.8s,+33° 50′ 50″,120,3.150323913,A,mainsequence,9882.422537
,Phi Eridanus,2h 16m 30.6s,-51° 30′ 44″,155,4.150348627,B,subgiant,11920.49736
Mira,Omicron Cetus,2h 19m 20.7s,-2° 58′ 39″,465,47.91489385,M,normalgiant,3917.94294
,65 Andromeda,2h 25m 37.3s,+50° 16′ 43″,362,18.2328651,K,normalgiant,3748.934037
,Delta Hydrus,2h 21m 45.1s,-68° 39′ 34″,135,3.456725519,A,mainsequence,9765.803485
,Iota Cassiopeia,2h 29m 3.9s,+67° 24′ 9″,141,3.29128583,A,,8747.606288
,Rho Cetus,2h 25m 56.9s,-12° 17′ 26″,543,9.048768849,B,mainsequence,10381.76661
,Xi Cetus,2h 28m 9.5s,+08° 27′ 36″,181,3.806240726,B,normalgiant,10795.07392
,Kappa Eridanus,2h 26m 59.1s,-47° 42′ 14″,543,10.26186119,B,subgiant,12292.51942
,Sigma Cetus,2h 32m 5.1s,-15° 14′ 41″,85,2.367416435,F,subgiant,6624.712472
,Omega Fornax,2h 33m 50.6s,-28° 13′ 57″,465,7.352700318,B,mainsequence,10941.16853
,Nu Cetus,2h 35m 52.4s,+05° 35′ 36″,407,13.98160511,G,normalgiant,5106.136867
,Delta Cetus,2h 39m 28.9s,+00° 19′ 43″,815,14.94138627,B,subgiant,13830.7091
,Epsilon Cetus,2h 39m 33.7s,-11° 52′ 20″,90,2.404908608,F,mainsequence,6624.712472
,12 Perseus,2h 42m 14.9s,+40° 11′ 38″,81,2.300642774,F,mainsequence,6006.976021
,HD 16754,2h 39m 47.9s,-42° 53′ 30″,130,2.542720544,A,mainsequence,9433.580165
,Iota Eridanus,2h 40m 40s,-39° 51′ 19″,148,7.809910554,K,normalgiant,4695.226277
,Theta Perseus,2h 44m 11.9s,+49° 13′ 43″,36,1.37338399,F,mainsequence,6434.592641
,35 Aries,2h 43m 27s,+27° 42′ 26″,407,6.437948527,B,mainsequence,12103.30141
,Gamma Cetus,2h 43m 18s,+03° 14′ 9″,83,3.025925447,A,mainsequence,9125.458485
,Epsilon Hydrus,2h 39m 35.5s,-68° 16′ 1″,155,3.510022072,B,mainsequence,10941.16853
,Pi Cetus,2h 44m 7.3s,-13° 51′ 32″,465,8.966296692,B,mainsequence,12103.30141
,Mu Cetus,2h 44m 56.5s,+10° 6′ 51″,85,2.644109495,F,subgiant,7398.896776
,Tau Eridanus,2h 45m 6.1s,-18° 34′ 21″,45,1.464137787,F,mainsequence,6481.008924
,39 Aries,2h 47m 54.5s,+29° 14′ 50″,181,8.263392215,K,normalgiant,4493.257892
,Eta Perseus,2h 50m 41.8s,+55° 53′ 44″,588,47.84854238,M,supergiant,3528.434308
,Zeta Hydrus,2h 45m 32.6s,-67° 37′ 0″,296,5.554738883,A,subgiant,9433.580165
,41 Aries,2h 49m 59s,+27° 15′ 38″,163,4.373168706,B,mainsequence,11572.81773
,16 Perseus,2h 50m 34.9s,+38° 19′ 7″,130,4.223162958,F,normalgiant,7216.762974
,Beta Fornax,2h 49m 5.4s,-32° 24′ 22″,171,7.564891428,G,supergiant,4766.876782
,17 Perseus,2h 51m 30.8s,+35° 3′ 35″,465,25.72469481,K,normalgiant,3691.168543
,Tau Eridanus,2h 51m 2.2s,-21° 0′ 15″,191,6.988993249,K,normalgiant,4996.415833
,Tau Perseus,2h 54m 15.4s,+52° 45′ 45″,250,12.20964874,G,normalgiant,5436.136574
,HD 18242,2h 53m 52.8s,-49° 53′ 25″,496,13.24783742,M,normalgiant,10125.23719
,Nu Hydrus,2h 50m 28.7s,-75° 4′ 1″,362,16.41820506,K,normalgiant,4068.520901
,Eta Eridanus,2h 56m 25.6s,-8° 53′ 53″,135,8.353707575,K,hypergiant,4471.93794
,Pi Perseus,2h 58m 45.6s,+39° 39′ 46″,326,6.525187116,A,mainsequence,9433.580165
,24 Perseus,2h 59m 3.6s,+35° 10′ 59″,362,14.52709179,K,normalgiant,4212.905144
,Epsilon Aries,2h 59m 12.6s,+21° 20′ 25″,296,5.980201274,A,mainsequence,9652.203136
,Epsilon Aries,2h 59m 12.6s,+21° 20′ 25″,296,5.9527234,A,mainsequence,9652.203136
,Lambda Cetus,2h 59m 42.8s,+08° 54′ 27″,465,7.476610998,B,normalgiant,11743.77313
Acamar,Theta Eridanus,2h 58m 15.6s,-40° 18′ 17″,163,6.278332343,A,normalgiant,8838.793893
,Theta Eridanus,2h 58m 16.2s,-40° 18′ 16″,163,3.457978471,A,mainsequence,10125.23719
,Beta Horologium,2h 58m 47.8s,-64° 4′ 16″,326,6.157117465,A,normalgiant,8747.606288
Menkar,Alpha Cetus,3h 2m 16.7s,+04° 5′ 23″,232,33.10759285,M,supergiant,3594.399505
,Gamma Perseus,3h 4m 47.7s,+53° 30′ 23″,271,20.6402505,G,normalgiant,5601.697844
,HD 18970,3h 5m 32.4s,+56° 42′ 21″,217,8.488791279,G,normalgiant,4695.226277
